[10:58:25 21/09/2025] [ERROR] Unhandled Rejection | Meta: {"promise":"[object Promise]","fatal":true,"stack":"MongoServerError: E11000 duplicate key error collection: Cshop.products index: _id_ dup key: { _id: ObjectId('68ce659ddc6e05ce884c1795') }\n    at InsertOneOperation.execute (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\operations\\insert.js:51:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)\n    at async tryOperation (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\operations\\execute_operation.js:207:20)\n    at async executeOperation (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\operations\\execute_operation.js:75:16)\n    at async Collection.insertOne (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\collection.js:157:16)","name":"MongoServerError","message":"E11000 duplicate key error collection: Cshop.products index: _id_ dup key: { _id: ObjectId('68ce659ddc6e05ce884c1795') }"}
[11:02:27 21/09/2025] [ERROR] Uncaught Exception | Meta: {"fatal":true,"stack":"Error: listen EADDRINUSE: address already in use :::5000\n    at Server.setupListenHandle [as _listen2] (node:net:1937:16)\n    at listenInCluster (node:net:1994:12)\n    at Server.listen (node:net:2099:7)\n    at Function.listen (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\express\\lib\\application.js:635:24)\n    at startServer (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\app.js:152:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)","name":"Error","message":"listen EADDRINUSE: address already in use :::5000"}
[11:09:33 21/09/2025] [ERROR] Uncaught Exception | Meta: {"fatal":true,"stack":"Error: listen EADDRINUSE: address already in use :::5000\n    at Server.setupListenHandle [as _listen2] (node:net:1937:16)\n    at listenInCluster (node:net:1994:12)\n    at Server.listen (node:net:2099:7)\n    at Function.listen (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\express\\lib\\application.js:635:24)\n    at startServer (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\app.js:152:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)","name":"Error","message":"listen EADDRINUSE: address already in use :::5000"}
[11:15:54 21/09/2025] [ERROR] Uncaught Exception | Meta: {"fatal":true,"stack":"Error: listen EADDRINUSE: address already in use :::5000\n    at Server.setupListenHandle [as _listen2] (node:net:1937:16)\n    at listenInCluster (node:net:1994:12)\n    at Server.listen (node:net:2099:7)\n    at Function.listen (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\express\\lib\\application.js:635:24)\n    at startServer (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\app.js:152:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)","name":"Error","message":"listen EADDRINUSE: address already in use :::5000"}
[11:19:33 21/09/2025] [ERROR] Uncaught Exception | Meta: {"fatal":true,"stack":"Error: listen EADDRINUSE: address already in use :::5000\n    at Server.setupListenHandle [as _listen2] (node:net:1937:16)\n    at listenInCluster (node:net:1994:12)\n    at Server.listen (node:net:2099:7)\n    at Function.listen (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\express\\lib\\application.js:635:24)\n    at startServer (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\app.js:152:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)","name":"Error","message":"listen EADDRINUSE: address already in use :::5000"}
[11:22:02 21/09/2025] [ERROR] Uncaught Exception | Meta: {"fatal":true,"stack":"Error: listen EADDRINUSE: address already in use :::5000\n    at Server.setupListenHandle [as _listen2] (node:net:1937:16)\n    at listenInCluster (node:net:1994:12)\n    at Server.listen (node:net:2099:7)\n    at Function.listen (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\express\\lib\\application.js:635:24)\n    at startServer (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\app.js:152:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)","name":"Error","message":"listen EADDRINUSE: address already in use :::5000"}
[13:34:13 21/09/2025] [ERROR] Unhandled Rejection | Meta: {"promise":"[object Promise]","fatal":true,"stack":"MongoServerError: E11000 duplicate key error collection: Cshop.products index: _id_ dup key: { _id: ObjectId('68cf6ae63fae25800077fe3a') }\n    at InsertOneOperation.execute (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\operations\\insert.js:51:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)\n    at async tryOperation (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\operations\\execute_operation.js:207:20)\n    at async executeOperation (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\operations\\execute_operation.js:75:16)\n    at async Collection.insertOne (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\collection.js:157:16)","name":"MongoServerError","message":"E11000 duplicate key error collection: Cshop.products index: _id_ dup key: { _id: ObjectId('68cf6ae63fae25800077fe3a') }"}
[13:40:57 21/09/2025] [ERROR] Uncaught Exception | Meta: {"fatal":true,"stack":"Error: listen EADDRINUSE: address already in use :::5000\n    at Server.setupListenHandle [as _listen2] (node:net:1937:16)\n    at listenInCluster (node:net:1994:12)\n    at Server.listen (node:net:2099:7)\n    at Function.listen (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\express\\lib\\application.js:635:24)\n    at startServer (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\app.js:152:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)","name":"Error","message":"listen EADDRINUSE: address already in use :::5000"}
[13:47:25 21/09/2025] [ERROR] Uncaught Exception | Meta: {"fatal":true,"stack":"Error: listen EADDRINUSE: address already in use :::5000\n    at Server.setupListenHandle [as _listen2] (node:net:1937:16)\n    at listenInCluster (node:net:1994:12)\n    at Server.listen (node:net:2099:7)\n    at Function.listen (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\express\\lib\\application.js:635:24)\n    at startServer (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\app.js:152:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)","name":"Error","message":"listen EADDRINUSE: address already in use :::5000"}
[13:47:33 21/09/2025] [ERROR] Uncaught Exception | Meta: {"fatal":true,"stack":"Error: listen EADDRINUSE: address already in use :::5000\n    at Server.setupListenHandle [as _listen2] (node:net:1937:16)\n    at listenInCluster (node:net:1994:12)\n    at Server.listen (node:net:2099:7)\n    at Function.listen (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\express\\lib\\application.js:635:24)\n    at startServer (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\app.js:152:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)","name":"Error","message":"listen EADDRINUSE: address already in use :::5000"}
[13:47:53 21/09/2025] [ERROR] Unhandled Rejection | Meta: {"promise":"[object Promise]","fatal":true,"stack":"MongoServerError: E11000 duplicate key error collection: Cshop.products index: _id_ dup key: { _id: ObjectId('68cf6ae63fae25800077fe3a') }\n    at InsertOneOperation.execute (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\operations\\insert.js:51:19)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)\n    at async tryOperation (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\operations\\execute_operation.js:207:20)\n    at async executeOperation (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\operations\\execute_operation.js:75:16)\n    at async Collection.insertOne (C:\\Users\\Cat Thach\\Desktop\\monhoc\\T5_cdbackend\\lab\\node_modules\\mongodb\\lib\\collection.js:157:16)","name":"MongoServerError","message":"E11000 duplicate key error collection: Cshop.products index: _id_ dup key: { _id: ObjectId('68cf6ae63fae25800077fe3a') }"}
